Original_Index,Supplier,Lock_Reason,Extracted,Status,Corrected_Requirement
458,Kasteel GmbH,"1.2.1 KO Non-conformity
 The company management does not adequately monitor whether employees are fulfilling their responsibilities with regard to food safety and product quality.
 1) Knife basket no. 9 in the cutting room (area for hanging pigs) was unclean. The plant mana-ger informed the responsible cutter, who continued his cutting work unchanged after being instructed. 
 2) Employees at the cutting table stored knife sharpeners and a knife in red E2 boxes with meat on the cutting conveyor b","5.11.3, 4.9.4.1, 1.2.1, 4.12.1",MULTIPLE,
459,COVI SAS,"Following the Integrity On-site Check audit on November 18, 2025, a MAJOR NC was issued for requirement 4.10.2:
 The cleaning plan does not guarantee that equipment and buildings are clean. Cleaning deficiencies have been observed on several occasions:
 - Presence of pieces of wood on the floor of the positive cold room
 - White buckets used for weighing spices and ingredients are stored as clean buckets even though they are dirty: seen in the organic spice room, in the cutting mixing room (alre",4.10.2,OK,
460,COMPAGNIE DES SAVEURS - Ets Guenard SAS,"KO on item 5.1.1. : 
 The last internal audit of IFS chapters 4.10 (Cleaning) and 4.13 (Pests) was conducted on July 16, 2024. The date of the last internal audit of IFS chapter 4.3 (R&D) is unknown. The internal audit planning for these three IFS chapters could not be submitted for 2024. They were also not included in the 2025 internal audit planning. Therefore, the 12-month planning and 15-month implementation deadlines were not met for these three IFS requirements. Consequently, not all IFS r",5.1.1,OK,
461,Toscana Gourmet Since 1957 S.r.l.,Missing payment,,MISSING,
462,Piscifactoria Campoo S.A.,"Majors NC against the cl. 4.9.1.1. and 5.4.1:
 4.9.1.1
 Several areas within the premises where the trouts are processed and stored were not maintained as to ensure food safety. Examples: 
 - Ceilings in the peeling / filleting / packing room were damaged, painting was detached, they showed black sport and rustiness, some of them above open product being processed.
 - In this room condensation was observed in several areas of the ceilings, including areas above the product. This dripping water h","4.9.1.1, 5.4.1",MULTIPLE,
463,Van Loon Noord B.V.,"Major NC on 4.9.9.1: No evidence that water which is used for hand washing, cleaning and disinfection or as an ingredient in the production process for minced meat is of potable quality at the point of use. No analysis seen for water used as an ingredient for minced meat and water used for cleaning the production area. Seen result of water analyses of hand washing 18-08-2025 (TPC 190 kve, limit is 100kve). Seen result is not compliant with legislation.",4.9.9.1,OK,
464,VICTUSPAK D.O.O.,"During IFS Audit a KO was raised against 4.18.1. The company does not have evidence of the quantities of raw materials used (sugar, dextrose, cocoa, lecithin, aroma vanillin) during the mixing step. This was verified against working order no. 19 for mixing semi-product Instant Eroski dated 01.04.2025, which was used to produce the finished product Cocoa Eroski 800 g. L010425A. Packed quantities of finished product Cocoa Eroski 800 g, L010425A were on 16.05.2025: 4608 bags packed and on 13.06.202",4.18.1,OK,
465,SOCIETA' AGRICOLA BRUZZESE S.S.,voluntary suspension by customer,,MISSING,
466,Esa B.V.,"The following Non-conformity has been raised during the IFS audit started on 10th November at Esa B.V. - COID 42229. After identification of the K.O. non-conformity, the company asked the LRQA auditor to stop the audit, thus the audit is considered cancelled as defined in IFS Food v8 Doctrine section 1-4.2.1.
 
 Non-conformity type: KO non-conformity
 IFS Food v8 requirement 4.18.1
 The traceability of fresh article 10010 was not ensured, the mass balance could not be completed as a substantial ",4.18.1,OK,
467,Diano Casearia spa,"Following an unannounced IOC audit conducted on November 26, 2025 by IFS, one Major NC was issued for requirement 4.14.5 (several unidentified containers of raw materials) and one KO (D) for requirement 4.18.1 (ineffective traceability system).
 The independent RINA AGRIFOOD Technical Committee has therefore decided to suspend IFS certificate, as it is a Fundamental requirement for the IFS Standard that was completely disregarded. 
 The certificate can only be reinstated following a supplementar","4.14.5, 4.18.1",MULTIPLE,
468,"EXPL AGRICOLA HNOS GUERRERO GEMEZ, S.L.","A withdrawal is being carried out due to a fire that has affected the site. The company is not operating on site, and a new full audit will be required to regain certification.",,POTENTIAL_MISS,
470,"CONSERVAS Y SALAZONES LINDA PLAYA, S.L.","Major NC 1.2.6: The company had a product recall ordered by Italian authorities on July 2, 2025, due to food safety concerns (detection of histamine above legal limits in anchovy fillets in olive oil). This recall was not reported to the certification body until November 28, 2025, failing to meet the three-day notification deadline, and therefore was not reported on the IFS portal.",1.2.6,OK,
471,LDC Bretagne SA,"During the IFS Food audit carried out from November 25 to 27, 2025, a major non-conformity was detected regarding requirement 4.5.2
 Chemical risks associated with packaging are governed by group procedures, in particular by a packaging charter dated November 2024 (prohibiting the use of phthalates, bisphenol, nano and mineral oils, and requiring the use of low-migration inks).
 This has been explored for Poule et Toque brand direct-contact labels used on frozen whole chickens under the packagin",4.5.2,OK,
472,Facundo Blanco S.A,"The following non-conformities have been raised during the IFS unannounced audit from 10-11-2025 to 11-11-2025 at Facundo Blanco S.A - COID 50593:
 
 
 Non-conformity type: KO non-conformity
 IFS Food v8 requirement 2.3.9.1
 There is no recorded evidence (in format A 6-3-42 “Zona de Envasado”) of the monitoring of the metal detector on the TNA4 packaging line at the end of the packaging of batch 16050922 of the product Chaskis Chill Explosion, 75-gram format (on 16/09/2025 at 20:00), failing to ","4.18.1, 4.13.7",MULTIPLE,
473,Oryza S.r.l.,Contract terminated,,MISSING,
474,Sun Snack s. r. o.,Sun Snack company ceased operations and all production is transferred to the company SUNCONE s.r.o. (COID 16712).,,MISSING,
475,"VASCO, NUNO & CLÁUDIO VIEIRA Lda","Major non-conformity and KO:
 - Major 4.9.10.1
 The evidenced analitycal report for compressed air showened the following classification: 3.4.3 (report dated (dated 21.01.25)
 this means that this compressed air has:
 - Classification 3 for particules: the number of particules per m3 ≤ 90.000 (particules between 0,5,μm - 1,0 μm) and ≤ 1000 (particules between 1,0 μm - 5,0 μm); 
 - Classification 4 for dew point: a Pressure dew point (°C) of ≤ +3ºC 
 - Classification 3 for oil: Oil (incl. oil vap","3.4.3, 4.9.10.1, 5.11.3",MULTIPLE,
476,LIGHTIES SARL,Non-payment of audit invoice,,MISSING,
477,Jac van den Oord Potatoes B.V.,"4.18.1 KO N° 7: A traceability system shall be documented, implemented and maintained that enables the identification of product lots and their relation to batches of raw materials, and food contact packaging materials, and/or materials carrying legal and/or relevant food safety information. The traceability system shall incorporate all relevant records of:
 • receipt
 • processing at all steps
 • use of rework
 • distribution.
 Traceability shall be ensured and documented until delivery to the ","4.18.1, 5.11.3",MULTIPLE,
478,JUMOSOL FRUITS S.L.,"During the recertification audit, the following was detected: 
 
 KO in requirement 1.2.1: It has been determined that management has not provided sufficient resources for the proper implementation and maintenance of the Quality and Food Safety Management System, as evidenced by the following points:
 - Some of the corrective actions established by the company in the previous audit have not been considered effective or have not been assigned the material or supervisory resources necessary for th","4.13.4, 1.2.1",MULTIPLE,
480,Bervini Primo S.r.l.,"Following a preliminary technical review and decision, the certificate is suspended for the following reason:
 . Typology and severity of non-conformities from the inspections of the ATS Val Padana authority on 23/10/2025 and 24/10/2025,
 . Notification of suspension of cutting operations at the Bervini Primo S.r.l. plant, Via Monasterolo 62/A, EU approval number IT R915K, in Borgo Virgilio (MN), issued by the competent Health Authority (note from the Veterinary Department and Animal Food Safety",1.2.6,OK,
481,JEAN FLOC'H SURGELATION SAS,"NC Major item 5.5.1 :
 During the flow freeze line, on which the pork sauté (own branded Jean Floch), batch 25322, was being packaged in 5kg bags, it was found that for the series of 10 weighings in progress, the % of TU1 was 10%. Operators are required to perform 3 series of 10 weighings per hour. The weighing results are recorded in the weighing software, which generates a “Stat1” for each series of 10 weighings and a ‘Stat2’ corresponding to the overall evaluation of the weighed batch. The “S",5.5.1,OK,
482,Celvia Sérent SASU,"2.3.9.1 KO (D)
 The metal detector monitoring procedure in the picking area was not correctly applied to detect any loss of control of the metal detector CCP in a timely manner. During the audit, the operator in charge of the control retrieved the carton before it was properly ejected. A DPM verification test was carried out, and the ejector did not eject the cartons onto the NC product ejection ramp. The EN-EXP-004 record does not provide for recording the proper functioning of the ejector, so ",,POTENTIAL_MISS,
483,H. Holland Vriezenveen bv,"During the on-site audit performed on 1 and 2 December 2026, a major non-conformity relating to IFS requirement 4.10.1 was issued. 
 During the first day of the audit, a product changeover was observed, and it was proven during the first production run that residue of the former product (marzipan) was still present in the main dispenser. This residue had not been seen or verified during the cleaning process before the next run began. The product made using that specific recipe contained the raw ",4.10.1,OK,
485,CAPRICHOS DEL PALADAR S.L.U.,"During the audit performed on 26th November 2025 to 28th November 2025, it was detected a KO under the requirement 4.12.1.
 
 KO 4.12.1.
 During the on-site visit to the Artichoke based vegetables ( Crujientes de alcachofa) area were observed that the company has not identified nor implemented procedures to avoid the hazards related to the foreign body were not implemented based on risk:
 
 - It was observed white teflon thread from the pipe isolation (the pipe is use for filling the vat with an",4.12.1,OK,
